Date,Campaign name,Ad set name,Ad name,External destination URL,Reach,Amount spent,Impressions,Post engagements,Page likes,Post reactions,Clicks to play video,Three-second video views,Video watches at 100%,Video average watch time,Post comments,Post shares
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,328,1.8,335,36,,0,34,,1,2,,
2018-04-29,2.38E+16,Kalamazoo,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,524,1.98,540,48,,0,46,,15,1,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,530,1.92,542,74,,0,74,,16,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,495,1.77,497,63,,0,63,,8,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,1976,7.04,1997,245,,4,239,,50,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,1774,6.98,1794,152,,0,152,,76,1,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,459,2,481,51,,0,50,,18,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,593,1.86,601,41,,0,41,,27,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,2423,6.71,2441,257,,2,253,,39,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,641,1.88,650,66,,1,64,,10,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,2285,7.16,2315,175,,2,172,,84,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,593,2.01,610,71,,0,68,,29,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,854,2.48,866,86,,4,81,,18,1,,
